Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Hamamelidaceae,NA,3125,Saxifragales,Pentapetalae,skip,2,NA,NA,NA
Hamamelis,NA,5802,Hamamelidaceae,Saxifragales,Hamamelis,9,NA,NA,NA
Hamamelis virginiana,NA,5800,Hamamelis,Hamamelidaceae,Hamamelis,10,NA,NA,NA
Hedyosmum,NA,1730,Chloranthaceae,Chloranthales,skip,1,"FL, only instance of Chloranthaceae",NA,NA
Hedyotis,NA,453,Rubiaceae,Gentianales,Rubiaceae undiff.,3,NA,NA,NA
Hedysarum,NA,451,Fabaceae subf. Faboideae,Fabaceae,Hedysarum,22,NA,NA,NA
Hedysarum-type,NA,1166,Fabaceae subf. Faboideae,Fabaceae,Hedysarum,2,NA,NA,NA
Heliantheae undiff.,679,NA,NA,NA,Helianthus,NA,"An imperfect match, but Helianthus was established in V1.",NA,NA
Helianthemum,NA,1260,Cistus/Helianthemum,Cistaceae,Cistaceae undiff.,7,NA,NA,NA
Helianthemum-type,681,NA,NA,NA,Cistaceae undiff.,NA,NA,NA,NA
Helianthus,NA,9666,Asteraceae tribe Heliantheae,Asteraceae subf. Asteroideae,Helianthus,NA,NA,NA,NA
Helianthus-type,NA,1511,Asteraceae subf. Asteroideae,Asteraceae,Helianthus,NA,NA,NA,NA
Heliotropium,NA,452,Boraginaceae,Lamiidae,Boraginaceae,5,NA,NA,NA
Heracleum,NA,2537,Apiaceae,Apiales,Apiaceae,18,all BC,NA,NA
Heracleum-type,NA,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Heracleum lanatum,686,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Herniaria-type,687,NA,NA,NA,Caryophyllaceae undiff.,1,NA,NA,NA
Heuchera-type,NA,1097,Saxifragaceae,Saxifragales,Saxifragaceae undiff.,2,NA,NA,NA
Hippocastanoideae,691,NA,NA,NA,skip,NA,Not in Neotoma taxon list.,NA,NA
Hippocratea,NA,3574,Celastraceae,Celastrales,Celastraceae,0,NA,NA,NA
Hippocratea-type,NA,9668,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Celastraceae,0,NA,NA,NA
Holodiscus,NA,1250,Rosaceae,Rosales,Holodiscus,13,NA,NA,NA
Holodiscus-type,NA,5742,Rosaceae,Rosales,Holodiscus,11,NA,NA,NA
Hudsonia,NA,1261,Cistaceae,Malvales,Cistaceae undiff.,4,NA,NA,NA
Humulus,NA,425,Cannabaceae,Urticalean Rosids,Humulus/Cannabis,NA,NA,NA,NA
Humulus-type,NA,130,Cannabaceae,Urticalean Rosids,Humulus/Cannabis,NA,NA,NA,NA
Humulus lupulus,NA,1335,Humulus,Cannabaceae,Humulus/Cannabis,NA,NA,NA,NA
Humulus/Cannabis,NA,806,Cannabaceae,Urticalean Rosids,Humulus/Cannabis,NA,NA,NA,NA
Humulus/Cannabis sativa,NA,352,Humulus/Cannabis,Cannabaceae,Humulus/Cannabis,NA,NA,NA,NA
Hydrophyllaceae,NA,1585,Lamiidae,Garryidae,Hydrophyllaceae undiff.,NA,NA,NA,NA
Hydrophyllaceae-type,NA,2970,Lamiidae,Garryidae,Hydrophyllaceae undiff.,NA,NA,NA,NA
Hydrophyllaceae undiff.,704,NA,NA,NA,Hydrophyllaceae undiff.,NA,NA,NA,NA
Hydrophyllum,NA,131,Hydrophyllaceae,Lamiidae,Hydrophyllum,19,NA,NA,NA
Hydrophyllum cf. H. virginianum,NA,1440,Hydrophyllum,Hydrophyllaceae,Hydrophyllum,NA,NA,NA,NA
Hypericum,NA,132,Hypericaceae,Malpighiales,Hypericum,49,NA,NA,NA
Hypericum-type,NA,1596,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Hypericum,NA,NA,NA,NA
Hypericum perforatum-type,NA,3582,Hypericum,Hypericaceae,Hypericum,NA,NA,NA,NA
Hypoxis,NA,454,Hypoxidaceae,Asparagales,Hypoxis,3,central us,NA,NA
Ilex,NA,135,Aquifoliaceae,Aquifoliales,Ilex,NA,NA,NA,NA
Ilex-type,NA,940,Aquifoliaceae,Aquifoliales,Ilex,NA,NA,NA,NA
Ilex/Nemopanthus,NA,672,Aquifoliaceae,Aquifoliales,Ilex,NA,NA,NA,NA
Ilex/Nemopanthus undiff.,NA,1225,Ilex/Nemopanthus,Aquifoliaceae,Ilex,NA,NA,NA,NA
Impatiens,NA,136,Balsaminaceae,Ericales,Impatiens,147,NA,NA,NA
Impatiens capensis,NA,998,Impatiens,Balsaminaceae,Impatiens,NA,NA,NA,NA
Ipomoea,NA,9670,Convolvulaceae,Solanales,Convolvulaceae,4,NA,NA,NA
Iridaceae,NA,138,Asparagales,Petrosaviidae,Iridaceae undiff.,14,NA,NA,NA
Iris,NA,1932,Iridaceae subf.  Iridoideae,Iridaceae,Iris,25,NA,NA,NA
Iris versicolor,NA,9671,Iris,Iridaceae subf.  Iridoideae,Iris,NA,NA,NA,NA
Isodendrion,NA,NA,NA,NA,skip,0,NA,NA,NA
Itea,NA,140,Grossulariaceae,Saxifragales,Itea,11,SEUS,NA,NA
Iva,NA,963,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Iva,NA,NA,NA,NA
Iva-type,NA,1509,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Iva,NA,NA,NA,NA
Iva annua,NA,378,Iva,Asteraceae subtribe Ambrosiinae,Iva,NA,NA,NA,NA
Iva annua-type,NA,62,Iva,Asteraceae subtribe Ambrosiinae,Iva,NA,NA,NA,NA
Iva frutescens,NA,9672,Iva frutescens-type,Iva,Iva,NA,NA,NA,NA
Iva frutescens-type,NA,456,Iva,Asteraceae subtribe Ambrosiinae,Iva,NA,NA,NA,NA
Iva undiff.,NA,142,Iva,Asteraceae subtribe Ambrosiinae,Iva,NA,NA,NA,NA
Jasione,NA,1073,Campanuloideae subf. Campanuloideae,Campanulaceae,Campanulaceae undiff.,1,NA,NA,NA
Juglandaceae,733,NA,NA,NA,Juglandaceae undiff.,NA,NA,NA,NA
Juglandaceae undiff.,NA,5704,Juglandaceae,Fagales,Juglandaceae undiff.,NA,NA,NA,NA
Juglans,NA,372,Juglandaceae,Fagales,Juglans,NA,NA,NA,NA
Juglans cf. J. cinerea,NA,1441,Juglans,Juglandaceae,Juglans,NA,NA,NA,NA
Juglans cf. J. nigra,NA,1442,Juglans,Juglandaceae,Juglans,NA,NA,NA,NA
Juglans cinerea,NA,144,Juglans,Juglandaceae,Juglans,NA,NA,NA,NA
Juglans cinerea-type,NA,801,Juglans,Juglandaceae,Juglans,NA,NA,NA,NA
Juglans nigra,NA,145,Juglans,Juglandaceae,Juglans,NA,NA,NA,NA
Juglans nigra-type,NA,802,Juglans,Juglandaceae,Juglans,NA,NA,NA,NA
Juglans undiff.,NA,146,Juglans,Juglandaceae,Juglans,NA,NA,NA,NA
Juncaceae,NA,147,Poales,Commelinidae,Juncaceae,NA,NA,NA,NA
Juniperus,NA,983,Cupressaceae,Cupressophyta,Juniperus,NA,NA,NA,NA
Juniperus-type,NA,363,Cupressaceae,Cupressophyta,Juniperus,NA,NA,NA,NA
Juniperus communis,NA,4416,Juniperus,Cupressaceae,Juniperus,NA,NA,NA,NA
Juniperus communis/Thuja occidentalis-type,NA,761,Cupressaceae,Cupressophyta,Juniperus,NA,NA,NA,NA
Juniperus/Calocedrus,NA,9676,Cupressaceae,Cupressophyta,Juniperus,NA,NA,NA,NA
Juniperus/Thuja,NA,364,Cupressaceae,Cupressophyta,Juniperus,NA,NA,NA,NA
Justicia,NA,2013,Acanthaceae subf. Acanthoideae,Acanthaceae,Acanthaceae,10,S Florida,NA,NA
Kadua,NA,NA,NA,NA,skip,0,NA,NA,NA
Kallstroemia,NA,1586,Zygophyllaceae,Zygophyllales,Kallstroemia,6,SWUS,NA,NA
Kalmia,NA,148,Ericaceae subf. Ericoideae,Ericaceae,Ericaceae subf. Ericoideae,NA,NA,NA,NA
Knautia,NA,2685,Caprifoliaceae subf. Dipsacoideae,Caprifoliaceae,Caprifoliaceae undiff.,1,NA,NA,NA
Kochia-type,NA,458,Amaranthaceae,Caryophyllales,Kochia,33,Great Plains,NA,NA
Koenigia,755,NA,NA,NA,Koenigia,NA,NA,NA,NA
Koenigia alaskana,756,NA,NA,NA,Koenigia,NA,NA,NA,NA
Koenigia islandica,NA,149,Koenigia,Polygonaceae,Koenigia,24,Great Plains,NA,NA
Koenigia sect. Aconogonon,758,NA,NA,NA,Koenigia,NA,NA,NA,NA
Labordia,NA,NA,NA,NA,skip,0,NA,NA,NA
Lactuca,NA,5236,Asteraceae tribe Cichorieae,Asteraceae subf. Cichorioideae,Asteraceae subf. Cichorioideae,3,NA,NA,NA
Lactuca-type,NA,1512,Asteraceae tribe Cichorieae,Asteraceae subf. Cichorioideae,Asteraceae subf. Cichorioideae,3,NA,NA,NA
Lagotis,NA,1169,Plantaginaceae,Lamiales,Plantaginaceae undiff.,4,NA,NA,NA
Lagotis glauca,NA,2669,Lagotis,Plantaginaceae,Plantaginaceae undiff.,1,NA,NA,NA
Lamiaceae,NA,460,Lamiales,Lamiidae,Lamiaceae undiff.,NA,NA,NA,NA
Lamiaceae cf. Stachys,NA,1263,Lamiaceae (tricolpate),Lamiaceae,Lamiaceae undiff.,NA,NA,NA,NA
Lamiaceae undiff.,NA,150,Lamiaceae,Lamiales,Lamiaceae undiff.,NA,NA,NA,NA
Lamium,NA,4427,Lamiaceae (tricolpate),Lamiaceae,Lamiaceae undiff.,1,NA,NA,NA
Laportea,NA,465,Urticaceae,Urticalean Rosids,Urticaceae,3,NA,NA,NA
Laportea-type,NA,152,Urticalean Rosids incertae sedis,Urticalean Rosids,Urticaceae,34,NA,NA,NA
Larix,NA,153,Pinaceae,Coniferae,Larix,NA,NA,NA,NA
Larix-type,NA,4430,Larix/Pseudotsuga,Pinaceae incertae sedis,Larix,NA,Tricky one.  Would be better to do a geographic split,NA,NA
Larix laricina,NA,1460,Larix,Pinaceae,Larix,NA,NA,NA,NA
Larix/Pseudotsuga,NA,373,Pinaceae incertae sedis,Pinaceae,Larix,NA,Tricky one.  Would be better to do a geographic split,NA,NA
Larix|pollen|NISP,773,NA,NA,NA,Larix,NA,NA,NA,NA
Larrea,NA,1484,Zygophyllaceae,Zygophyllales,Larrea,NA,SWUS,NA,NA
Lathyrus,NA,3909,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,1,CA/MX,NA,NA
Lechea,NA,154,Cistaceae,Malvales,Lechea,7,FL/SEUS,NA,NA
Ledum-type,NA,27019,Ericaceae,Ericales,Ericaceae undiff.,NA,NA,NA,NA
Leitneria floridana,NA,158,Leitneria,Simaroubaceae,Simaroubaceae undiff.,3,SEUS,NA,NA
Lepidium,NA,NA,NA,NA,skip,0,NA,NA,NA
Leptecophylla,NA,NA,NA,NA,skip,0,NA,NA,NA
Leptosiphon,NA,9678,Polemoniaceae,Ericales,Polemoniaceae undiff.,2,NA,NA,NA
Leptospermum,NA,2774,Myrtaceae,Myrtales,Myrtaceae undiff.,1,NA,NA,NA
Lesquerella,NA,2670,Brassicaceae,Brassicales,Brassicaceae,4,NA,NA,NA
Lewisia,NA,2183,Montiaceae,Caryophyllales,Montiaceae undiff.,4,NA,NA,NA
Ligusticum,NA,3160,Apiaceae,Apiales,Apiaceae,8,western/BC,NA,NA
Ligusticum calderi-type,783,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Liliaceae,NA,341,Liliales,Petrosaviidae,Liliaceae,NA,NA,NA,NA
Liliaceae-type,NA,1931,Monocotyledoneae,Mesangiospermae,Liliaceae,NA,NA,NA,NA
Liliaceae undiff.,NA,161,Liliaceae,Liliales,Liliaceae,NA,NA,NA,NA
Lilium,NA,1401,Liliaceae,Liliales,Liliaceae,2,NA,NA,NA
Lilium philadelphicum-type,NA,466,Lilium,Liliaceae,Liliaceae,1,NA,NA,NA
Limonium,NA,1427,Plumbaginaceae,Caryophyllales,Plumbaginaceae,1,NA,NA,NA
Limonium cf. L. limbatum,NA,1518,Limonium,Plumbaginaceae,Plumbaginaceae,NA,NA,NA,NA
Linaceae,NA,2276,Malpighiales,Fabidae,Linaceae undiff.,4,scattered,NA,NA
Linanthus,NA,1589,Polemoniaceae,Ericales,Polemoniaceae undiff.,9,Great Basin,NA,NA
Lindernia,NA,NA,NA,NA,Scrophulariaceae,NA,NA,NA,NA
Linnaea borealis,NA,635,Linnaea,Caprifoliaceae subf. Linnaeoideae,Linnaea,NA,actually a single species,NA,NA
Linum,NA,636,Linaceae,Malpighiales,Linum,14,NA,NA,NA
Liquidambar,NA,162,Altingiaceae,Saxifragales,Liquidambar,NA,NA,NA,NA
Liquidambar styraciflua,NA,1565,Liquidambar,Altingiaceae,Liquidambar,NA,NA,NA,NA
Liriodendron,NA,163,Magnoliaceae,Magnoliales,Liriodendron,NA,NA,NA,NA
Liriodendron tulipifera,NA,1566,Liriodendron,Magnoliaceae,Liriodendron,NA,NA,NA,NA
Listera,NA,4460,Orchidaceae,Asparagales,Orchidaceae,2,NA,NA,NA
Lithocarpus,NA,1590,Fagaceae,Fagales,Lithocarpus,16,WUS,NA,NA
Lithocarpus-type,NA,2623,Fagaceae,Fagales,Lithocarpus,NA,NA,NA,NA
Lithospermum,803,NA,NA,NA,Boraginaceae,NA,NA,NA,NA
Lobelia,NA,2476,Campanulaceae subf. Lobelioideae,Campanulaceae,Campanulaceae undiff.,1,NA,NA,NA
Lobelia-type,NA,638,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Campanulaceae undiff.,2,NA,NA,NA
Lonicera,NA,164,Caprifoliaceae subf. Caprifolioideae,Caprifoliaceae,Lonicera,47,NA,NA,NA
Lonicera caerulea,NA,598,Lonicera,Caprifoliaceae subf. Caprifolioideae,Lonicera,NA,NA,NA,NA
Lonicera canadensis-type,NA,642,Lonicera,Caprifoliaceae subf. Caprifolioideae,Lonicera,NA,NA,NA,NA
Lonicera/Symphoricarpos,NA,3484,Caprifoliaceae subf. Caprifolioideae,Caprifoliaceae,Caprifoliaceae undiff.,NA,NA,NA,NA
Loranthaceae,NA,776,Santalales,Pentapetalae,skip,2,only instance of Loranthaceae,NA,NA
Lotus,NA,2904,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,4,NA,NA,NA
Ludwigia-type,NA,2551,Onagraceae,Myrtales,Onagraceae undiff.,0,NA,NA,NA
Lupinus,NA,1066,Fabaceae subf. Faboideae,Fabaceae,Lupinus,19,"WUS, Montane",NA,NA
Lupinus-type,NA,27020,Fabaceae subf. Faboideae,Fabaceae,Lupinus,1,NA,NA,NA
Lycium,NA,1587,Solanaceae,Solanales,Lycium,NA,NA,NA,NA
Lycopus,NA,654,Lamiaceae (hexacolpate),Lamiaceae (stephanocolpate),Lycopus,21,Could split,NA,NA
Lycopus-type,NA,176,Lamiaceae (hexacolpate),Lamiaceae (stephanocolpate),Lycopus,NA,NA,NA,NA
Lyonia,NA,818,Ericaceae subf. Vaccinioideae,Ericaceae,Ericaceae subf. Vaccinioideae,NA,NA,NA,NA
Lysichiton,NA,1406,Araceae,Alismatales,Lysichiton,23,WUS type,NA,NA
Lysichiton americanus,NA,1466,Lysichiton,Araceae,Lysichiton,NA,NA,NA,NA
Lysimachia,NA,539,Primulaceae,Ericales,Lysimachia,16,NA,NA,NA
Lysimachia quadriflora-type,NA,467,Lysimachia,Primulaceae,Lysimachia,NA,NA,NA,NA
Lysimachia thyrsiflora,NA,468,Lysimachia,Primulaceae,Lysimachia,NA,NA,NA,NA
Lythraceae,NA,1278,Myrtales,Rosidae,Lythraceae,NA,NA,NA,NA
Lythrum,NA,336,Lythraceae,Myrtales,Lythrum,15,ENA and SWUS,NA,NA
Maclura,830,NA,NA,NA,Moraceae undiff.,NA,NA,NA,NA
Maclura pomifera-type,NA,178,Maclura-type,Moraceae (triporate),Moraceae undiff.,6,NA,NA,NA
Magnolia,NA,179,Magnoliaceae,Magnoliales,Magnolia,NA,NA,NA,NA
Magnolia virginiana,NA,9702,Magnolia virginiana-type,Magnolia,Magnolia,NA,NA,NA,NA
Magnolia virginiana-type,834,NA,NA,NA,Magnolia,NA,NA,NA,NA
Maianthemum,NA,4504,Asparagaceae subf. Nolinoideae,Asparagaceae,Asparagaceae,4,NA,NA,NA
Malus,836,NA,NA,NA,Rosaceae undiff.,NA,2,NA,NA
Malva,NA,546,Malvaceae subf. Malvoideae,Malvaceae,Malvaceae undiff.,NA,NA,NA,NA
Malvaceae,NA,180,Malvales,Malvidae,Malvaceae undiff.,NA,NA,NA,NA
Malvaceae sensu stricto,NA,9532,Malvaceae,Malvales,Malvaceae undiff.,NA,NA,NA,NA
Malvaceae undiff.,NA,2003,Malvaceae,Malvales,Malvaceae undiff.,NA,NA,NA,NA
Medicago,NA,469,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,6,NA,NA,NA
Melaleuca,NA,2777,Myrtaceae,Myrtales,Myrtaceae undiff.,2,S Florida,NA,NA
Melampyrum-type,NA,846,Orobanchaceae,Lamiales,Orobanchaceae,NA,NA,NA,NA
Melastomataceae,NA,1701,Myrtales,Rosidae,Melastomataceae,3,NA,NA,NA
Meliaceae,NA,2364,Sapindales,Malvidae,Meliaceae/Sapotaceae,NA,NA,NA,NA
Meliaceae/Sapotaceae undiff.,NA,1228,Meliaceae/Sapotaceae,Sapindales,Meliaceae/Sapotaceae,NA,NA,NA,NA
Melicope,NA,NA,NA,NA,skip,0,NA,NA,NA
Melilotus-type,NA,181,Fabaceae subf. Faboideae,Fabaceae,Melilotus,77,Great Plains,NA,NA
Melothria,NA,NA,NA,NA,Cucurbitaceae,1,NA,NA,NA
Menispermaceae,NA,2515,Ranunculales,Eudicotyledoneae,Menispermum,1,Rare instance of lumping family to genus,NA,NA
Menispermum,NA,5781,Menispermaceae,Ranunculales,Menispermum,3,NA,NA,NA
Mentha,NA,2286,Lamiaceae (hexacolpate),Lamiaceae (stephanocolpate),Mentha,11,NA,NA,NA
Mentha-type,NA,656,Lamiaceae (hexacolpate),Lamiaceae (stephanocolpate),Mentha,19,NA,NA,NA
Mentha arvensis,NA,1000,Mentha,Lamiaceae (hexacolpate),Mentha,NA,NA,NA,NA
Mentzelia,NA,9730,Loasaceae,Cornales,skip,3,this and Cevallia sinuta (0 occurrences) only instances of Loasaceae,NA,NA
Mertensia,NA,2287,Boraginaceae,Lamiidae,Boraginaceae,9,Mainly AK,NA,NA
Mertensia-type,NA,2668,Boraginaceae,Lamiidae,Boraginaceae,3,NA,NA,NA
Metopium,NA,NA,NA,NA,Anacardiaceae undiff.,3,FL & Bahamas,NA,NA
Micranthes cf. M. punctata,NA,844,Micranthes,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes cf. M. stellaris,NA,845,Micranthes,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes foliolosa,NA,1149,Micranthes,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes foliolosa-type,NA,1174,Micranthes-type,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes hieraciifolia,NA,1145,Micranthes,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes hieraciifolia-type,NA,1175,Micranthes-type,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes nivalis-type,NA,3619,Micranthes,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes pensylvanica,NA,2320,Micranthes,Saxifragaceae,Micranthes,NA,NA,NA,NA
Micranthes stellaris-type,NA,748,Micranthes-type,Saxifragaceae,Micranthes,NA,NA,NA,NA
Microsteris,NA,1591,Polemoniaceae,Ericales,Polemoniaceae undiff.,1,NA,NA,NA
Mimosa,NA,786,mimosoid clade,Fabaceae subf. Caesalpinioideae,Mimosa,7,Texas,NA,NA
mimosoid clade,NA,29012,Fabaceae subf. Caesalpinioideae,Fabaceae,Fabaceae undiff.,NA,"ENA, definitely not Mimosa",NA,NA
Mimulus,NA,1487,Phrymaceae,Lamiales,Mimulus,14,WUS,NA,NA
Mitchella repens,NA,9733,Mitchella,Rubiaceae,Rubiaceae undiff.,1,NA,NA,NA
Mitella,NA,1567,Saxifragaceae,Saxifragales,Saxifragaceae undiff.,5,NA,NA,NA
Momipites,NA,23414,Juglandaceae,Fagales,Juglandaceae undiff.,2,NA,NA,NA
Momipites/Caryapollenites,873,NA,NA,NA,skip,NA,NA,NA,NA
Monardella,NA,9734,Lamiaceae,Lamiales,Lamiaceae undiff.,1,NA,NA,NA
Monotropa,NA,661,Ericaceae subf. Monotropoideae,Ericaceae,Ericaceae subf. Monotropoideae,NA,NA,NA,NA
Montia,NA,2566,Montiaceae,Caryophyllales,Montiaceae undiff.,4,NA,NA,NA
Montia fontana,NA,NA,NA,NA,Montiaceae undiff.,NA,NA,NA,NA
Moraceae,NA,185,Urticalean Rosids,Rosales,Moraceae undiff.,NA,NA,NA,NA
Moraceae undiff.,NA,874,Moraceae,Urticalean Rosids,Moraceae undiff.,NA,NA,NA,NA
Morella,NA,NA,NA,NA,Myricaceae undiff.,1,NA,NA,NA
Morella cerifera,881,NA,NA,NA,Myricaceae undiff.,0,NA,NA,NA
Morinda,NA,NA,NA,NA,skip,0,NA,NA,NA
Morus,NA,186,Moraceae,Urticalean Rosids,Morus,218,NA,NA,NA
Morus-type,NA,1507,Urticalean Rosids incertae sedis,Urticalean Rosids,Morus,NA,NA,NA,NA
Morus rubra,NA,1443,Morus,Moraceae,Morus,NA,NA,NA,NA
Morus rubra-type,NA,662,Morus-type,Urticalean Rosids incertae sedis,Morus,NA,NA,NA,NA
Muscari,NA,4546,Asparagaceae tribe Urgineeae,Asparagaceae subf. Scilloideae,Asparagaceae,1,NA,NA,NA
Myosotis,NA,2590,Boraginaceae,Lamiidae,Boraginaceae,3,NA,NA,NA
Myosotis-type,NA,665,Boraginaceae,Lamiidae,Boraginaceae,1,NA,NA,NA
Myrica,NA,383,Myricaceae,Fabales,Myrica,590,NA,NA,NA
Myrica-type,NA,379,Myricaceae,Fabales,Myrica,NA,NA,NA,NA
Myrica gale,NA,666,Myrica,Myricaceae,Myrica,XXEDIT HERE MYRICA / CEAE,NA,NA,NA
Myrica/Casuarina,NA,23509,Fabidae incertae sedis,Fabidae,skip,NA,NA,NA,NA
Myrica/Comptonia,NA,25379,Myricaceae,Fabales,Myricaceae undiff.,NA,NA,NA,NA
Myrica/Comptonia peregrina,NA,382,Myrica/Comptonia,Myricaceae,Myricaceae undiff.,NA,NA,NA,NA
Myricaceae,NA,381,Fabales,Fabidae,Myricaceae undiff.,NA,NA,NA,NA
Myricaceae undiff.,NA,875,Myricaceae,Fabales,Myricaceae undiff.,NA,NA,NA,NA
Myrsine,NA,254,Primulaceae subf. Myrsinoideae,Primulaceae,Primulaceae undif.,2,NA,NA,NA
Myrsine cubana,NA,9738,Myrsine,Primulaceae subf. Myrsinoideae,Primulaceae undif.,NA,NA,NA,NA
Myrsinoideae,NA,NA,NA,NA,skip,2,NA,NA,NA
Myrtaceae,NA,883,Myrtales,Rosidae,Myrtaceae undiff.,NA,NA,NA,NA
Myrtaceae undiff.,NA,380,Myrtaceae,Myrtales,Myrtaceae undiff.,NA,NA,NA,NA
Navarretia,NA,2111,Polemoniaceae,Ericales,Polemoniaceae undiff.,6,Great Basin,NA,NA
Nemopanthus,NA,189,Aquifoliaceae,Aquifoliales,Aquifoliaceae undiff.,13,NA,NA,NA
Nemopanthus mucronatus,NA,671,Nemopanthus,Aquifoliaceae,Aquifoliaceae undiff.,NA,NA,NA,NA
Nestegis,NA,NA,NA,NA,skip,0,NA,NA,NA
Nyctaginaceae,904,NA,NA,NA,Nyctaginaceae undiff.,NA,NA,NA,NA
Nyssa,NA,193,Cornaceae subf. Nyssoideae,Cornaceae,Nyssa,NA,NA,NA,NA
Nyssa sylvatica,NA,9743,Nyssa sylvatica-type,Nyssa,Nyssa,NA,NA,NA,NA
Oenothera,NA,470,Onagraceae,Myrtales,Onagraceae undiff.,8,NA,NA,NA
Oleaceae,908,NA,NA,NA,Oleaceae undiff.,NA,NA,NA,NA
Oleaceae undiff.,NA,674,Oleaceae,Lamiales,Oleaceae undiff.,NA,NA,NA,NA
Onagraceae,NA,445,Myrtales,Rosidae,Onagraceae undiff.,NA,NA,NA,NA
Onagraceae undiff.,NA,194,Onagraceae,Myrtales,Onagraceae undiff.,NA,NA,NA,NA
Ononis-type,NA,842,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,2,NA,NA,NA
Oplopanax,913,NA,NA,NA,Araliaceae,NA,NA,NA,NA
Oplopanax horridus,914,NA,NA,NA,Araliaceae,NA,NA,NA,NA
Opuntia,NA,472,Cactaceae,Caryophyllales,Opuntia,35,NA,NA,NA
Opuntia-type,NA,NA,NA,NA,Opuntia,NA,NA,NA,NA
Orchidaceae,NA,473,Asparagales,Petrosaviidae,Orchidaceae,NA,NA,NA,NA
Osmanthus,NA,195,Oleaceae,Lamiales,Osmanthus,4,"SEUS, coastal",NA,NA
Ostrya,NA,1237,Betulaceae,Fabales,Ostrya/Carpinus,NA,NA,NA,NA
Ostrya-type,NA,384,Betulaceae,Fabales,Ostrya/Carpinus,NA,NA,NA,NA
Ostrya/Carpinus,NA,197,Betulaceae,Fabales,Ostrya/Carpinus,NA,NA,NA,NA
Ostrya/Carpinus-type,921,NA,NA,NA,Ostrya/Carpinus,NA,NA,NA,NA
Oxalidaceae,NA,1634,Oxalidales,Fabidae,Oxalidaceae,3,NA,NA,NA
Oxalis,NA,936,Oxalidaceae,Oxalidales,Oxalidaceae,10,NA,NA,NA
Oxyria,NA,9503,Rumex/Oxyria,Polygonaceae,Rumex/Oxyria,NA,NA,NA,NA
Oxyria digyna,NA,198,Oxyria,Rumex/Oxyria,Rumex/Oxyria,NA,NA,NA,NA
Oxyria digyna-type,NA,682,Rumex/Oxyria,Polygonaceae,Rumex/Oxyria,NA,NA,NA,NA
Oxytropis,NA,1003,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,NA,13,"W Can, Pac NW",NA
Oxytropis-type,NA,1067,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,NA,2,NA,NA
Oxytropis maydelliana-type,NA,683,Oxytropis-type,Fabaceae subf. Faboideae,Fabaceae undiff.,NA,NA,NA,NA
Pandanus,NA,NA,NA,NA,skip,0,NA,NA,NA
Papaver,NA,1069,Papaveraceae,Ranunculales,Papaveraceae,14,scattered across WUS & Canada,NA,NA
Papaver-type,NA,4080,Papaveraceae,Ranunculales,Papaveraceae,NA,NA,NA,NA
Papaveraceae,NA,684,Ranunculales,Eudicotyledoneae,Papaveraceae,NA,NA,NA,NA
Parietaria,NA,475,Urticaceae,Urticalean Rosids,Urticaceae,4,NA,NA,NA
Parkinsonia,NA,1583,Fabaceae subf. Caesalpinioideae,Fabaceae,Parkinsonia,NA,SWUS,NA,NA
Parnassia,NA,200,Celastraceae,Celastrales,Celastraceae,20,Ncen Nam,NA,NA
Parnassia-type,NA,NA,NA,NA,Celastraceae,NA,NA,NA,NA
Paronychia,937,NA,NA,NA,Caryophyllaceae undiff.,NA,NA,NA,NA
Paronychia americana,NA,2553,Paronychia,Caryophyllaceae,Caryophyllaceae undiff.,1,NA,NA,NA
Paronychia chartacea,NA,2554,Paronychia,Caryophyllaceae,Caryophyllaceae undiff.,NA,NA,NA,NA
Parthenocissus,NA,201,Vitaceae,Vitales,Parthenocissus,48,NA,NA,NA
Parthenocissus-type,941,NA,NA,NA,Parthenocissus,NA,NA,NA,NA
Parthenocissus vitacea,NA,935,Parthenocissus,Vitaceae,Parthenocissus,NA,NA,NA,NA
Pedicularis,NA,476,Orobanchaceae,Lamiales,Pedicularis,36,NA,NA,NA
